,Name,Sex,Year,Last_Status,VT_BW
80082,Cocker Spaniel,3,5.0,2,12.0
80083,Cocker Spaniel,3,5.0,2,12.8
80084,Cocker Spaniel,3,5.0,2,13.0
80085,Cocker Spaniel,3,5.0,2,11.2
80086,Cocker Spaniel,3,5.0,2,11.9
80087,Cocker Spaniel,3,5.0,2,12.9
80088,Cocker Spaniel,3,5.0,2,13.7
80089,Golden Retriever,2,0.0,0,13.9
80090,Welsh Corgi,3,1.0,0,18.0
80091,Welsh Corgi,3,1.0,0,18.0
80092,Poodle,4,9.0,0,5.0
80093,Poodle,4,9.0,0,4.9
80094,Poodle,4,9.0,0,5.0
80095,Poodle,4,9.0,0,4.98
80096,Poodle,4,9.0,0,4.9
80097,Poodle,4,9.0,0,5.1
80098,Poodle,4,10.0,0,5.0
80099,Poodle,4,10.0,0,4.9
80100,Poodle,4,10.0,0,5.0
80101,Poodle,4,10.0,0,4.8
80102,Poodle,4,10.0,0,5.0
80103,Poodle,4,10.0,0,0.0
80104,Poodle,4,11.0,0,5.0
80105,Mixed,1,4.0,2,25.0
80110,Golden Retriever,4,10.0,2,34.0
80111,Golden Retriever,4,10.0,2,34.0
80112,Golden Retriever,4,10.0,2,34.0
80113,Golden Retriever,4,10.0,2,34.0
80114,Golden Retriever,4,10.0,2,34.0
80115,Golden Retriever,4,11.0,2,35.0
80116,Golden Retriever,4,11.0,2,0.0
80117,Golden Retriever,4,11.0,2,35.0
80118,Maltese,3,10.0,0,3.17
80119,Maltese,1,0.0,2,0.4
80120,Maltese,1,0.0,2,0.57
80121,Pomeranian,4,3.0,0,4.3
80122,Pomeranian,4,4.0,0,4.94
80123,Pomeranian,4,4.0,0,4.9
80124,Pomeranian,4,4.0,0,4.93
80125,Pomeranian,4,4.0,0,4.9
80126,Pomeranian,4,4.0,0,4.93
80127,Pomeranian,4,4.0,0,4.9
80128,Pomeranian,4,4.0,0,4.8
80129,Pomeranian,4,4.0,0,4.8
80130,Poodle,2,3.0,0,6.0
80131,Poodle,2,3.0,0,6.0
80133,Pomeranian,2,0.0,0,2.0
80134,Yorkshire Terrier,3,13.0,0,3.7
80135,Yorkshire Terrier,3,0.0,0,1.9
80136,Yorkshire Terrier,2,0.0,0,1.0
80137,Maltese,1,4.0,0,3.3
80138,Mixed,2,7.0,0,5.7
80139,Shih Tzu,2,13.0,0,4.6
80140,Shih Tzu,2,13.0,0,4.7
80141,Shih Tzu,2,13.0,0,4.9
80142,Shih Tzu,2,13.0,0,4.9
80143,Shih Tzu,2,13.0,0,5.0
80144,Shih Tzu,2,13.0,0,4.7
80147,Maltese,3,13.0,2,4.7
80148,Maltese,3,13.0,2,4.3
80149,Maltese,3,13.0,2,4.6
80150,Maltese,3,13.0,2,4.43
80151,Maltese,3,13.0,2,4.5
80152,Maltese,3,13.0,2,4.3
